"","C4PL.bam","C6PL.bam","C7PL.bam","C8PL.bam","C9PL.bam","C4NPL.bam","C6NPL.bam","C7NPL.bam","C8NPL.bam","C9NPL.bam","C4FL.bam","C6FL.bam","C7FL.bam","C8FL.bam","C9FL.bam"
"42sp43",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"a1cf",15039,5761,17005,18542,11675,15955,7706,17658,20734,8978,10759,6482,13609,11433,10966
"aaas",40,33,77,108,75,80,32,68,104,57,56,17,72,40,51
"aacs",488,153,1245,2129,499,415,287,1017,4623,414,237,4281,1264,4589,3390
"aadac",1,0,0,2,0,4,0,0,0,1,2,2,1,2,1
"aadat",101,48,226,397,119,208,66,150,187,137,85,16,98,62,80
"aagab",74,32,90,100,108,116,44,133,106,61,108,41,126,61,78
"aamdc",2,2,11,7,0,4,4,13,14,8,2,2,2,0,2
"aamp",96,34,148,208,91,200,22,167,162,134,57,34,114,76,67
"aanat1",1,2,0,9,7,3,1,8,7,0,1,0,0,2,2
"aanat2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aar2",31,14,65,104,49,40,24,87,72,65,30,23,42,59,38
"aars2",228,94,243,302,229,323,153,455,417,206,274,118,264,143,152
"aarsd1",14,21,17,89,30,42,2,62,51,28,14,9,22,10,21
"aasdh",9,6,13,57,14,33,19,18,64,19,3,10,9,7,4
"aasdhppt",259,77,159,94,165,259,132,223,162,141,202,76,158,153,171
"aass",212,98,295,722,260,426,104,490,570,259,128,75,247,119,138
"aatf",37,16,48,200,38,128,8,38,191,32,45,10,38,22,16
"aatka",112,61,118,226,117,135,44,208,155,61,112,34,157,114,55
"aatkb",434,99,340,356,211,318,100,184,326,44,384,129,193,327,234
"abat",5535,3433,9691,9165,6538,4431,2503,6505,9344,4810,2296,2124,4110,2654,4258
"abca12",43,4,9,44,5,118,24,44,11,14,26,14,10,25,4
"abca1b",68,65,208,295,151,180,99,350,263,122,73,42,124,134,132
"abca3b",141,85,268,295,160,282,93,289,224,146,122,34,221,113,94
"abca5",286,121,393,434,236,402,134,354,335,238,207,108,218,210,159
"abca7",10,3,8,20,16,13,2,27,4,11,5,4,5,4,4
"abcb10",23,6,24,84,34,50,15,33,59,22,23,20,8,33,10
"abcb11a",24,0,28,22,4,24,3,10,25,12,14,15,12,22,33
"abcb4",1466,661,1254,982,948,2200,981,1091,695,1157,754,941,921,917,1145
"abcb6a",135,63,191,173,176,130,187,210,206,122,88,47,220,185,162
"abcb7",283,123,445,772,391,510,143,583,765,498,155,132,212,247,179
