Geneid,SSCF31.bam,SSCF32.bam,SSCF33.bam,SSCF38.bam,SSCF39.bam
42sp43,2510,6243,2672,3718,8660
a1cf,4,35,20,31,7
aaas,3824,4195,3432,2798,3916
aacs,421,379,319,245,393
aadac,68,76,23,18,45
aadat,288,380,203,237,280
aagab,2208,2716,2389,2354,1884
aamdc,16,38,13,14,16
aamp,1154,1897,1530,1343,1461
aanat1,6,16,2,18,6
aanat2,45,39,20,79,32
aar2,855,861,780,759,797
aars2,295,515,309,435,359
aarsd1,440,664,468,520,471
aasdh,124,187,128,82,175
aasdhppt,560,494,512,460,469
aass,1332,1426,1045,1575,1370
aatf,2640,3697,2416,2762,2890
aatka,74,52,69,67,145
aatkb,64,122,47,28,92
abat,344,282,224,348,212
abca12,2,10,4,13,4
abca1b,524,1635,399,721,1225
abca3b,662,921,968,798,873
abca5,1142,895,905,777,1079
abca7,82,58,51,39,2
abcb10,141,319,171,167,228
abcb11a,10,34,19,17,28
abcb4,16,20,40,56,90
abcb6a,1941,2258,1887,1853,2113
abcb7,395,766,498,698,522
abcb8,221,265,254,287,394
abcb9,404,545,379,361,692
abcc10,787,1438,610,903,1511
abcc12,27,14,10,23,123
abcc1,61,253,18,45,16
abcc2,40,34,18,26,34
abcc3,123,73,55,45,152
abcc4,385,556,305,219,436
abcc6a,20,32,0,4,8
abcc8,159,156,98,30,398
abcc9,20,50,36,4,80
abcd3a,1183,1185,1667,1107,1018
abcd4,404,608,396,514,596
abce1,2573,3293,2287,3075,3786
abcf1,2462,2891,1858,2665,3313
abcf3,1417,1515,792,1363,2044
abcg1,12,38,24,42,32
abcg2a,27,24,20,19,41
abcg2b,28,33,42,18,27
abcg2d,18,13,18,19,20
abcg4a,15,22,12,5,3
abcg5,6,11,8,14,4
abcg8,2,0,0,2,0
abch1,72,34,47,36,59
abhd10b,2485,3313,2353,2201,2948
abhd11,212,209,47,43,207
abhd13,1150,1695,1351,1226,1198
abhd14a,885,1016,859,953,824
abhd14b,378,586,344,529,779
abhd15a,1579,1710,1294,1446,1634
abhd16a,1914,2289,1325,1904,2609
abhd17ab,267,307,163,129,220
