Geneid,SSCN43.bam,SSCN44.bam,SSCP22.bam,SSCP26.bam,SSCP28.bam,SSCP29.bam,SSCP30.bam
42sp43,174,26,246,194,115,361,1320
a1cf,130,19,2026,172,263,86,75
aaas,528,543,862,682,571,654,936
aacs,614,392,448,425,443,458,441
aadac,66,7,46,46,54,19,12
aadat,297,244,678,343,450,213,297
aagab,1052,1548,1058,1182,962,964,1094
aak1a,1223,1472,1627,1611,1419,1241,1320
aamdc,139,570,258,150,223,60,68
aamp,880,491,1505,823,853,570,1156
aanat1,37,160,15,31,36,18,1
aanat2,0,0,0,0,0,6,6
aar2,382,396,820,571,580,671,598
aard,665,548,61,194,109,98,191
aars1,5665,7475,2528,6246,3648,2568,2830
aars2,313,377,1492,506,435,540,549
aarsd1,1248,2215,1011,1164,970,872,1145
aasdh,145,85,379,192,148,88,194
aasdhppt,176,314,498,289,261,314,259
aass,1811,2896,3456,1926,1918,2109,2616
aatf,429,518,917,583,416,964,1368
aatka,1064,607,3031,600,1095,639,1778
aatkb,318,60,868,92,379,158,665
abat,336,418,805,272,649,294,661
abca12,1738,38,2236,687,2050,189,97
abca1b,194,68,385,105,136,260,313
abca3b,804,336,749,945,1071,743,1225
abca5,5309,4470,3934,6950,3764,3271,1990
abca7,3861,2916,12274,5617,8901,5257,7906
abcb10,186,70,146,143,191,184,267
abcb11a,127,104,258,315,161,488,232
abcb4,959,282,887,473,706,449,671
abcb6a,1022,517,1696,972,978,1335,1393
abcb7,1860,1182,1390,775,1496,1148,1225
abcb8,291,268,452,381,383,510,354
abcb9,328,291,636,317,289,309,300
abcc10,2469,1548,1037,3011,1456,1004,686
abcc12,108,50,129,118,101,255,206
abcc1,676,32,282,267,403,292,516
abcc2,242,99,806,137,207,200,123
abcc3,637,218,806,184,1029,173,441
abcc4,4139,2833,8236,3980,4509,3149,4710
abcc6a,431,212,73,659,89,254,38
abcc8,120,43,480,16,30,16,16
abcc9,348,35,252,46,96,112,286
abcd3a,1509,1481,5103,1993,2567,1400,1703
abcd4,438,468,1857,612,627,532,649
abce1,1752,2132,4902,2407,2237,2348,2858
abcf1,2463,2956,3327,2123,2503,1781,2549
abcf3,631,681,2708,1110,999,1139,1199
abcg1,197,171,630,441,315,295,232
abcg2a,12,0,20,0,19,6,12
abcg2b,230,55,356,168,195,141,174
abcg2d,155,144,109,123,129,131,201
abcg4a,88,46,140,36,108,102,145
abcg5,9,20,79,13,26,68,18
abcg8,0,0,2,0,0,0,8
abch1,199,75,198,127,348,186,268
abhd10b,1420,2001,1536,1897,1549,1451,1557
abhd11,203,122,86,152,190,128,190
abhd13,480,350,482,593,669,503,688
abhd14a,568,861,309,749,446,483,538
abhd14b,240,233,288,203,181,212,448
abhd15a,91,79,191,326,183,92,197
abhd16a,2682,2178,4185,4598,2935,3475,2388
abhd17ab,690,628,931,1154,747,576,752
abhd17b,367,101,646,335,299,571,609
abhd18,2074,1460,2253,1607,2568,1472,2293
abhd3,313,530,505,363,388,332,556
abhd4,419,173,518,247,351,394,700
abhd6b,14,10,30,9,13,32,20
abhd8b,6,6,13,13,12,28,28
abi1a,1257,1245,2394,1485,2033,1979,2379
abi2b,1286,1927,2043,1252,1221,1549,1450
abi3a,138,151,548,184,198,555,225
abi3b,1,4,8,0,12,15,6
abitram,383,291,813,568,415,812,595
abl1,2010,813,2169,798,1451,2234,1083
abl2,392,284,627,420,463,323,799
ablim2,359,121,1059,232,311,620,475
ablim3,504,65,955,270,257,145,566
abr,7794,5109,2526,4466,4132,1693,3389
abraa,33,5,4,12,9,10,24
abrab,0,0,0,2,2,2,4
abracl,532,175,208,519,775,203,509
abraxas2,474,330,669,618,453,792,764
abt1,716,530,644,583,579,668,1380
abtb1,636,653,659,535,502,728,1085
acaa2,559,366,466,978,834,356,577
acaca,7252,4933,4021,7308,4231,4516,3591
acacb,2438,549,1493,728,1251,929,1603
acad8,358,369,993,420,311,558,542
acad9,432,800,566,351,747,456,592
acadl,285,291,574,255,520,484,638
acadm,1510,2396,2205,2546,2167,1380,1640
acads,229,894,1503,391,394,639,677
acadsb,625,632,660,441,507,428,598
acadvl,2828,1522,3428,2582,2779,4064,3413
acanb,309,87,351,26,573,88,229
acap1,578,566,416,430,604,353,417
acap2b,724,714,1124,576,830,666,917
acat1,1274,1230,1038,1170,893,718,866
acat2,1412,2589,2912,7614,1810,4515,1654
acbd3,1014,1154,2079,1133,1214,1205,1036
acbd5a,3864,8022,2876,6259,3588,2930,1997
acbd6,705,794,972,817,752,873,740
acbd7,5772,11732,6584,5710,10004,3058,5828
accs,261,145,561,120,245,163,257
acd,176,239,262,185,251,320,451
ace,1209,391,552,529,571,103,562
ace2,404,378,300,39,487,295,305
acer1,2,2,0,0,1,0,0
acer2,521,378,459,266,400,282,473
acer3,545,704,1539,723,796,918,1023
ache,471,382,974,1111,532,959,883
acin1a,5160,1038,3701,2608,3743,2282,3783
acin1b,1829,2165,6341,3041,2423,3923,3152
ackr3a,271,27,55,308,330,83,489
ackr4b,561,494,291,21,131,64,308
acmsd,91,113,502,360,249,54,184
aco1,984,893,1511,1204,978,1063,1199
aco2,3393,2317,2870,2809,2960,1822,2729
acod1,469,164,8,10,148,35,98
acot11b,228,145,702,181,392,238,353
acot13,1094,2055,1120,1724,1438,1408,1171
acot20,187,321,305,279,201,290,271
acot7,184,274,372,209,249,230,205
acot8,367,567,662,530,654,1168,878
acox1,788,705,1161,577,994,767,1244
acox3,489,320,453,671,601,392,566
acp1,601,1335,2140,923,811,1071,1317
acp2,2312,2854,704,4036,1690,1768,1074
acp5a,2193,6422,1700,4604,2217,1741,771
acp6,962,1017,1494,1359,880,1657,1393
acsbg2,2648,3564,1109,4172,1299,799,661
acsf2,474,359,1245,252,339,331,339
acsl1a,829,762,1352,775,1510,765,1291
acsl2,573,287,2277,708,662,1388,1094
acsl3a,12296,8357,4115,10014,7223,3795,3826
acsl3b,1529,1084,3889,1493,1650,2805,3914
acsl4a,6889,7684,6848,9451,20883,4287,5447
acsl5,85,8,29,459,65,381,5508
acss1,77,17,487,94,82,54,111
acss2,1337,966,1742,1289,1265,863,888
acss3,389,570,1452,395,336,646,329
acta1b,1354,42,321,19,128,370,926
acta2,61334,25744,20062,2678,7564,2358,25880
actb2,58050,65811,112997,76724,93098,57352,56628
actc1a,23897,15458,6367,363,2666,904,4956
actl6a,1736,1682,1548,1404,1607,1417,1629
actmap,446,1228,932,1406,533,844,555
actn2b,619,123,277,99,249,242,379
actn3b,134,57,245,64,66,144,162
actn4,2040,172,516,1175,1458,331,952
actr10,1829,2459,2023,1919,1725,1560,1905
actr1b,1702,1902,3202,1828,2058,1783,1832
actr5,261,238,619,328,302,341,382
actr6,526,325,797,496,455,685,780
actr8,1288,1546,1054,1241,1065,873,1033
acvr1ba,136,3,73,57,119,53,87
acvr1l,408,508,840,502,520,626,664
acvrl1,216,170,215,29,168,82,259
acy3.2,228,241,221,110,223,79,144
acyp1,416,852,266,730,337,310,305
ada,234,213,247,164,200,166,247
ada2b,35,38,440,118,75,82,59
adad1,1598,952,3365,2411,1622,2482,2124
adad2,1116,452,2195,989,975,2750,1675
adam10a,6701,5390,1784,4625,2310,2911,1825
adam17a,795,763,1179,780,798,703,951
adam19a,249,233,276,173,240,114,403
adam19b,48,23,123,55,40,75,106
adam22,297,147,576,401,300,659,332
adam28,674,82,1559,291,734,320,1163
adam8a,496,342,218,53,772,98,373
adam9b,135,10,111,39,86,114,90
adamts10,106,20,114,44,100,56,119
adamts13,55,52,46,16,4,6,23
adamts17,84,54,453,193,151,248,142
adamts18,48,44,129,130,21,24,65
adamts3,272,178,283,127,176,329,340
adamts6,85,64,136,24,18,2,51
adamts9,631,8,950,172,440,38,32
adamtsl2,2,2,0,9,2,10,0
adamtsl3,501,160,662,233,227,488,396
adamtsl4,911,376,821,167,901,119,714
adamtsl5,1238,1081,5244,1570,2684,3040,3410
adap2,79,37,69,9,72,60,93
adar,1347,472,1705,1075,1097,1446,1588
adarb1b,587,240,571,611,397,662,425
adarb2,20,5,50,6,5,26,62
adat1,1404,1097,1520,1235,1487,2476,2654
adat2,220,258,632,157,361,186,240
adat3,17,47,57,40,32,43,63
adck1,1049,875,2026,938,960,946,839
adck2,220,195,454,283,223,271,464
adck5,395,489,528,361,549,249,484
adcy1a,168,152,289,277,192,398,425
adcy2a,77,17,70,38,60,125,358
adcy2b,224,143,26,266,34,100,27
adcy3a,519,174,501,189,372,537,588
adcy5,92,74,352,103,100,111,124
adcy6a,729,975,1321,567,871,769,1712
adcy7,1015,892,336,935,588,531,372
adcy8,40,16,34,87,28,52,35
adcy9,704,367,710,203,493,436,691
adcyap1a,6,8,11,4,6,9,13
adcyap1b,2,6,28,6,16,6,6
adcyap1r1b,92,143,107,139,124,158,136
add1,1132,1453,1946,862,1384,1191,1552
add2,185,832,325,163,173,187,203
add3a,1912,1562,2255,1481,2835,835,3247
add3b,1810,939,3028,781,2242,1642,2223
adgb,1178,717,2002,2585,985,2269,1095
adgra2,746,326,495,414,536,216,663
adgra3,299,97,351,121,243,199,320
adgrb1a,351,534,744,393,838,264,761
adgrb2,15,2,9,7,8,54,0
adgrb3,39,13,51,19,15,25,204
adgrd1,416,125,232,40,82,62,791
adgrd2,130,125,131,99,60,189,111
adgrf3b,6,6,4,1,6,6,11
adgrf8,1346,1159,5843,274,1502,43,109
adgrg1,1726,1967,3466,1475,2010,1573,3184
adgrg4a,110,77,227,82,107,50,28
adgrg6,476,419,1284,429,448,544,615
adgrl1a,1788,1507,9015,1559,2265,2562,3294
adgrl2a,149,46,138,72,102,519,163
adgrl3.1,573,658,1609,606,1139,472,1024
adgrl4,242,51,60,24,152,87,310
