"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"a1cf",11651.092500015,-0.309580172490199,0.166075173293867,-1.86409663979337,0.0623081343414606,0.23085922873109
"aaas",52.2177855877835,-0.162816338793885,0.271317216019365,-0.60009586263138,0.548442349762991,0.787520514180776
"aacs",2364.07740034834,-2.19458461552252,0.764383384145283,-2.87105222463261,0.00409107929724097,0.038806660526725
"aadac",1.39477239103585,-1.57028154700002,1.35535736759318,-1.15857380831485,0.246629950133052,NA
"aadat",93.4432848286814,0.469337880380237,0.296346994315271,1.58374435841563,0.113251905955038,0.340326659113123
"aagab",82.2742844311356,-0.567475216470615,0.257077659608722,-2.20740774338122,0.0272855858881694,0.136126481722631
"aamdc",4.24360720419241,1.65355861285837,0.810016407800326,2.04138903475888,0.0412121734995369,NA
"aamp",86.9908828241466,0.182929531640688,0.328570802793101,0.556743113160535,0.577702955923071,0.805057319081259
"aanat1",1.77628222924224,1.05725341283626,1.24525447661029,0.849025988418215,0.395866831384172,NA
"aar2",44.5656795166173,-0.125442882180016,0.335543104805307,-0.373850275519153,0.708515712630635,0.87446588948333
"aars2",227.753563456385,-0.0300896062205053,0.250827663060902,-0.119961274818398,0.904513824586364,0.965017528765132
"aarsd1",20.9934580954015,0.392433324792132,0.49508332708378,0.79266116090741,0.427975264574265,0.70146326529917
"aasdh",15.8713271458161,1.40093769291003,0.553347897936778,2.5317484680679,0.0113495374555225,0.0783012996121278
"aasdhppt",163.177449962006,-0.361201833718406,0.277672359286036,-1.30082027122593,0.193319981595109,0.465179132202538
"aass",209.247022136603,0.593587071127598,0.252067577393379,2.35487275779717,0.0185290492454453,0.106723871713734
"aatf",39.4983256779345,0.684840297073141,0.562958300690396,1.21650270763087,0.223793480233442,0.504228975270449
"aatka",95.4568866963172,-0.379841709559403,0.329615252302628,-1.15237904467679,0.249165348211931,0.534561189037459
"aatkb",220.77464780497,-1.17749594306312,0.402640950321965,-2.92443166081729,0.0034508584287196,0.0339213009925986
"abat",3909.58313905563,0.0794445368574717,0.269720888327352,0.294543508847755,0.768342621836155,0.90384153475604
"abca12",25.2551206894686,0.6124577252414,0.669660435180446,0.914579528767245,0.360412409646565,0.646858452192354
"abca1b",132.723606010797,0.292700142090617,0.30001483400096,0.975618899196431,0.329253355408009,0.616553594155586
"abca3b",140.273663371979,0.165237053435755,0.293347178874452,0.563281549424662,0.57324317986921,0.801822172590751
"abca5",215.431899457649,-0.0364704421373157,0.156600979936619,-0.23288770065217,0.815848609339313,0.927748678187834
"abca7",6.70619171285507,0.547333968606835,0.67393642908836,0.812144803252761,0.416708547355873,NA
"abcb10",24.8802721786592,0.0601145583786212,0.467893082459478,0.12847926296031,0.897769707968684,0.962299093758907
"abcb11a",17.1838952844806,-1.25571464489993,0.487661130783796,-2.57497382020518,0.0100247674140641,0.0726600603134163
"abcb4",1104.7237579355,-0.288939844304586,0.400241708807333,-0.721913378707053,0.47034773528593,0.732252606689399
"abcb6a",154.121483897956,-0.1479177172729,0.419862484773715,-0.352300390335232,0.724612995442447,0.882678341797706
"abcb7",288.875238131603,0.626404991978113,0.244286816269712,2.56421939400328,0.0103408156901555,0.07373150019842
"abcb8",56.1916296528811,0.320564019094014,0.433484241434298,0.739505588561518,0.459600047467805,0.725668668163134
"abcb9",40.5930958245929,0.0911269045659051,0.459474550658601,0.198328513375302,0.84278804430691,0.940432341906012
"abcc10",40.0353187754146,1.70591720376026,0.469076476196127,3.63675709682572,0.000276092061782435,0.00472910793641591
"abcc1",72.400963950172,2.06817823262277,0.494946335187029,4.178590860444,2.93320811902259e-05,0.000979715913390567
"abcc12",69.5235746639592,-0.258415997827353,0.391522155013873,-0.660029054596404,0.509235184384806,0.760280700891962
"abcc2",1025.08212027015,0.491583781492162,0.260745239435665,1.88530299750095,0.0593889416992687,0.224027632631276
"abcc3",27.9336225609241,-0.135673716492481,0.361660470745102,-0.375141126739571,0.707555512038176,0.874004661836281
"abcc4",103.3078501487,0.362636176709307,0.357447941542046,1.01451465951903,0.310337237983158,0.599296178801618
