"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"42sp43",0.0921800273165571,0.462832014095422,3.15446838369528,0.146722666959572,0.883350926583274,NA
"a1cf",11348.526735225,-0.22830189823811,0.152900810283517,-1.49313726863042,0.135401258737679,0.453851735274125
"aaas",51.5233121064473,-0.0521342223942049,0.297519522977876,-0.175229584507238,0.860899238883401,0.957826949125415
"aacs",2131.34719107355,-2.66578946863459,0.666039202467585,-4.00245129529643,6.26895756873094e-05,0.00362341253596255
"aadac",1.19389960344046,-2.1553882672967,1.3672637674786,-1.57642462161598,0.114927977789434,NA
"aadat",97.1008208938662,0.699334296065605,0.36291529133025,1.92699043763691,0.0539808216442039,0.288817096826288
"aagab",77.7761045860702,-0.583295623995573,0.279876180478776,-2.08412028132493,0.0371492276705458,0.237442903454309
"aamdc",2.62439514084553,0.725265412773801,1.0611326139561,0.683482350118213,0.49430209928502,NA
"aamp",79.7584918273636,0.0829316876341729,0.249937970680699,0.331809078101702,0.740033428950603,0.918146394064633
"aanat1",1.96851708106717,1.31865622216403,1.27552055327956,1.03381809001318,0.301221213008772,NA
"aanat2",0,NA,NA,NA,NA,NA
"aar2",40.2434269027587,-0.249692117199569,0.315160322663157,-0.792270153455957,0.428203170822698,0.760233880071213
"aars2",193.767305052753,-0.371228234862516,0.24026715156501,-1.54506445198386,0.12233067434632,0.432610625988761
"aarsd1",21.4316663122771,0.522325622698057,0.487066014781233,1.07239184596499,0.283544068845821,0.648112211794148
"aasdh",10.7494868703924,0.690594768100078,0.604466553828038,1.14248631909673,0.25325192952516,0.615300092031929
"aasdhppt",150.306548537084,-0.454017815582456,0.374659076322469,-1.21181587281682,0.225582870923396,0.582319413560219
"aass",188.65098335091,0.465158872918901,0.274352206609204,1.6954807058705,0.0899842673343056,0.368857726241233
"aatf",35.8880237475133,0.580189292308029,0.464311583059371,1.24956885306443,0.211457086963623,0.562863276866783
"aatka",99.3718447328655,-0.105726419160771,0.287770527967915,-0.367398356973371,0.713321896980144,0.906568017703198
"aatkb",255.058156265754,-0.401797958710914,0.315869773656724,-1.27203674495165,0.203360063970096,0.552840416826132
"abat",4491.22766599112,0.572746480971487,0.253580278958486,2.2586396833535,0.0239058072288865,0.183486457578783
"abca12",16.778319787346,-0.356541355646648,0.685603055776742,-0.520040499590118,0.60303534778332,0.857937904959938
"abca1b",113.770081320027,0.0155264598803734,0.322321387681976,0.0481707403658016,0.961580168912826,0.989639726504508
"abca3b",134.281496270811,0.184382276541585,0.303907109370964,0.606706032390045,0.544046018129493,0.826828394696442
"abca5",214.556328581247,0.101825619791683,0.176129458696261,0.578129408591913,0.563176753421867,0.837262683293171
"abca7",6.75666298716268,0.701654410893883,0.555987811361076,1.26199603040975,0.206950214773145,0.556900032836981
"abcb10",22.8536225608493,-0.0135769860290621,0.523075507613636,-0.0259560729406023,0.979292375350011,0.994221779426062
"abcb11a",16.8028419201747,-1.10863800333224,0.65467333753841,-1.69342164979675,0.0903752368222595,0.369896210405014
"abcb4",1024.32270839517,-0.365501105419304,0.342896461896922,-1.06592265022897,0.286458609071858,0.650532534839146
"abcb6a",134.149626452364,-0.421602685276475,0.308374391670985,-1.36717800395792,0.171569518097454,0.50933911061111
"abcb7",250.644134424175,0.408345564178055,0.220629459169294,1.85082067333865,0.0641953559086857,0.315298100013706
"abcb8",51.6114255201582,0.234787113317698,0.356372150313298,0.658825649286256,0.510007734570843,0.81068356113252
"abcb9",43.1073417605669,0.377458314353093,0.281995769626291,1.3385247404715,0.1807254409251,0.523310063176446
"abcc10",32.2759919928301,1.38240022245621,0.47603493955417,2.90398898818413,0.00368441118541314,0.0496364367384898
"abcc1",46.5137354853441,1.35032673569988,0.488447314634399,2.76452893739542,0.00570050507502706,0.0702263902520141
"abcc12",55.301470991077,-0.865078971323612,0.346271652632993,-2.49826679355845,0.0124802227757549,0.121361378919965
"abcc2",962.767344288936,0.467408127769217,0.312766695306999,1.49443062443215,0.135063102168725,0.453566760843993
"abcc3",28.4003348835081,0.0922040572915813,0.380434451023978,0.242365161839063,0.808497226559827,0.94327754452021
"abcc4",94.0972050528574,0.251324956594256,0.393016812377119,0.639476349813498,0.522513094253466,0.815924707043513
"abcc6a",164.927266873073,0.0609753356912695,0.544469727985506,0.111990313799214,0.910831086724424,0.97446175973715
"abcc8",30.4985092778276,0.9127446136721,0.646160517800679,1.412566364746,0.157783264637139,0.489310177988173
"abcc9",59.9795976442972,0.856094030427725,0.281344088707974,3.04287193080613,0.00234332038553215,0.0352832722101695
"abcd3a",383.864084833863,0.157589821527393,0.218171264550731,0.722321621281836,0.470096762792323,0.787368708319492
"abcd4",23.6140248144966,0.214983491701673,0.474145628886409,0.453412366589963,0.650251833184935,0.878415759747755
"abce1",279.19310644439,0.158782643427059,0.323663083372991,0.49058002467361,0.623723517368809,0.866292447573618
"abcf1",247.652760704705,0.550696880921377,0.283531188431098,1.94227973285275,0.0521032451807584,0.283771013080409
"abcf3",85.1623542725772,0.564481704848824,0.45119467867228,1.25108236318281,0.210904429468502,0.562156170183317
"abcg1",14.8261607009335,0.116176439771144,0.5754891439574,0.201874250784726,0.84001503252554,0.953201016159416
"abcg2a",204.42109599064,0.572470275041071,0.655053456261638,0.873929096272744,0.382156868104294,0.727005819167182
"abcg2b",69.6438519345724,-0.773259714801175,0.305614668554673,-2.53017866733332,0.0114004456998512,0.113905568374102
"abcg2d",84.7763471970102,-1.1336372141015,0.599268563968035,-1.89170145451175,0.0585307694425957,0.303494272678874
"abcg4a",3.84533930794664,-0.673156263049134,0.875085613788893,-0.769246177107794,0.441747182275626,0.768896804922715
"abcg5",354.784349917404,-0.0577227612372085,0.264392257973338,-0.218322433794674,0.827177896384001,0.948594692337019
"abcg8",141.996737190281,0.503378474984406,0.25333798551149,1.98698380729634,0.0469241913001938,0.26852360145739
"abch1",2.46865508924183,0.00334403505029295,1.16360425826482,0.00287385941271787,0.997706995101022,NA
"abhd10b",104.281524292831,0.0839886192182838,0.258739703198184,0.324606614988469,0.745478820098831,0.920423344943257
"abhd11",8.21843911097425,0.542329792018515,0.650511561036908,0.833697392178622,0.404451528041895,0.743184291386007
"abhd13",39.2698819668412,0.280702211816614,0.356557839280795,0.787255757390755,0.431132163239224,0.761671347991626
"abhd14a",14.4573169688961,0.541219051694027,0.597857808866572,0.905263833084454,0.365325631840879,0.716148784683601
"abhd14b",51.3886789767616,-0.315949502491235,0.406836383952717,-0.776600901378466,0.437394269581493,0.765653893491657
"abhd15a",41.0640247617407,-0.111586872825621,0.584649616209721,-0.190861106775435,0.848634412257846,0.954395346234933
"abhd16a",154.904240514596,0.245479037704047,0.194318193173086,1.2632838629031,0.206487183443956,0.556359619083917
"abhd17ab",48.4770683573793,0.615563449312616,0.533865439261543,1.15303108993922,0.24889762379739,0.611475179975124
"abhd17b",4.84033950830332,0.525073731714992,0.716639550348887,0.732688743538319,0.463748291000728,0.784640115483972
"abhd18",216.64809879359,0.206649429822303,0.196950319445141,1.04924648207978,0.294064690431068,0.658406278996443
"abhd3",25.5752421937667,1.22129161126091,0.518406168511019,2.35585856311999,0.0184799524371745,0.155969024791704
"abhd4",47.1381769785448,-0.161399811737278,0.438152373978915,-0.368364572058773,0.712601410469624,0.906366827696068
"abhd5a",283.871931230476,0.648150718339233,0.532004083921637,1.21831906545045,0.223102747713717,0.578319295084055
"abhd6b",15.8205227924183,1.90648323554897,0.951370263810384,2.0039340181952,0.0450771289043039,0.263565547755912
"abhd8a",4.17466188794574,0.0855192210238006,0.801879538324372,0.106648463935747,0.915067869142771,0.975621851663095
"abhd8b",3.30434313743884,-0.0587589133818252,1.07234136873136,-0.054794970235402,0.956301807554892,NA
"abi1a",109.579854370481,0.114143083036861,0.22717381831386,0.502448230540208,0.615352259682183,0.862809367849307
"abi2b",77.0948921093203,0.00400306717418403,0.255770690879542,0.0156510003566801,0.987512818253495,0.995581984274094
"abi3b",0,NA,NA,NA,NA,NA
"abitram",24.4791283938166,-0.2206691074613,0.337376309895298,-0.654074103572307,0.513064064634088,0.812749942939023
"abl1",94.5173852980282,0.36074925449763,0.375399554634169,0.960974114231925,0.336565183505172,0.694733070201276
"abl2",43.8211815477304,0.432554899655478,0.433177864171229,0.998561873615258,0.318006977274941,0.680895861275262
"ablim2",9.50107684330431,0.282401332461307,0.583822058880375,0.483711309235013,0.628590765953592,0.86836758598789
