"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"42sp43",3276.98624336185,-5.54559941000745,0.647714918659599,-8.56179045788181,1.11128038941649e-17,1.45028435812918e-16
"a1cf",36.6708998105491,2.08588565100873,0.995875558464981,2.09452439441718,0.0362132923181177,0.0666809126618708
"aaas",2663.80102875675,-2.7069469797407,0.239565401817909,-11.2994070061845,1.32107025677497e-29,4.00830419249043e-28
"aacs",385.14955879182,0.562310577367861,0.319609646540664,1.75936672579849,0.0785152397922161,0.130288719837737
"aadac",40.5729953367553,-0.268535352271655,0.869631547805527,-0.308792100458281,0.757479678608398,0.808337584997846
"aadat",267.03177278247,0.0260785352679307,0.294303126561271,0.0886111390410302,0.929390955237605,0.944823065304241
"aagab",1987.60574300936,-0.777144828393893,0.316231259296792,-2.45752058200078,0.013989979399074,0.0285655526270016
"aamdc",117.398885539648,4.31831936329639,0.652620043820995,6.61689662182801,3.66817822138164e-11,2.58854093834635e-10
"aamp",1221.01795989213,-1.07880232232087,0.333934459465607,-3.23058100696546,0.00123538891463644,0.00311050503055755
"aanat1",35.6004764072199,3.46094150615271,0.931746267300956,3.71446779838274,0.000203631796882117,0.000590379696203287
"aanat2",30.1461194224071,-7.83575160968952,1.63896245175243,-4.78092197982405,1.74493077500587e-06,7.00072527585102e-06
"aar2",675.500813176094,-1.01305252228953,0.246764892986922,-4.10533487980082,4.03729582471287e-05,0.000131758362514426
"aars2",364.262685860136,-0.0919800196300408,0.343527956280158,-0.267751191565405,0.788890842754811,0.832798966632292
"aarsd1",858.144667537641,1.82317596654097,0.349514402490816,5.21631141248571,1.82521220853761e-07,8.31058489943136e-07
"aasdh",128.009243529622,-0.224750585503506,0.433836479193579,-0.518053682164476,0.604420815329076,0.682318888424169
"aasdhppt",419.351958655473,-0.969349360303323,0.357895292971503,-2.70847194511862,0.00675938266317673,0.0147625064988845
"aass",1620.64098418959,0.861522149783375,0.32733967383954,2.63189041425418,0.00849112461762795,0.0181711881122764
"aatf",2124.71067885305,-2.54360609128983,0.257753158508459,-9.86837991048849,5.7079028562405e-23,1.07781013807846e-21
