"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"42sp43",2684.73989312052,-3.6474658115606,0.598640066550488,-6.09291962794639,1.10869734271175e-09,4.83362834016355e-09
"a1cf",234.346864548191,4.43601478409771,0.821818909946362,5.3978008176853,6.7462701822783e-08,2.40064500326228e-07
"aaas",2254.1717174128,-2.49946034706971,0.14938587587818,-16.7315707216387,7.71758838451974e-63,2.73952017829046e-60
"aacs",392.418542215672,0.166199088110746,0.196117689904179,0.847445675053323,0.396746754947295,0.485078955906366
"aadac",40.1100512571276,-0.462535701462348,0.540284793879473,-0.856096093582695,0.391944629235453,0.480283160089251
"aadat",324.293706202817,0.311431530852589,0.284192308537132,1.09584785195514,0.273145363384212,0.352094594251329
"aagab",1723.15446715056,-1.315706104355,0.206096855103671,-6.38392130580143,1.72609816987732e-10,8.26374559710812e-10
"aamdc",80.0346312423648,2.81623538820526,0.493844099715726,5.70268104818177,1.17937537884056e-08,4.59170897376282e-08
"aamp",1224.87281925683,-0.826366973811384,0.233663143209012,-3.53657390062668,0.00040535307657709,0.000879042524093518
"aanat1",15.1565841432238,1.00614814365981,0.839600969261434,1.19836467619241,0.230775077895768,0.304300079833165
"aanat2",24.139264790718,-4.38763742662444,0.88101602850752,-4.98020159072167,6.35180738172729e-07,2.01027029591222e-06
"aar2",728.950278963801,-0.527200285917888,0.13477572880393,-3.91168566177706,9.16541564196435e-05,0.000218716026690464
"aars2",508.800948182952,0.602688665673225,0.299726828193928,2.01079319227065,0.044347305508942,0.0688338754011734
"aarsd1",755.968666234347,0.838938415644843,0.210933756467501,3.97726011092065,6.97138942071549e-05,0.000169563297995615
"aasdh",162.437481918409,0.302178329549473,0.343839557203149,0.878835268424159,0.379490600522072,0.467078556712921
"aasdhppt",413.100691253001,-0.849837953590535,0.189998843563886,-4.47285855876688,7.71808315319392e-06,2.12427251007056e-05
"aass",1804.91299360572,0.602354913745084,0.16173374574552,3.7243613629827,0.000195810281158654,0.000444360346189096
"aatf",1900.3860291544,-1.98447894625733,0.274244439819668,-7.23616838890969,4.61538228752721e-13,2.95928163268074e-12
"aatka",656.929173984055,3.81513096927404,0.430201867521685,8.86823432741547,7.431481943553e-19,8.51751461129825e-18
"aatkb",219.883150497217,2.35202880232056,0.531341082845356,4.42658939475437,9.573471772405e-06,2.60507770382753e-05
"abat",390.659717448976,0.684587060671185,0.322641097417822,2.12182225435665,0.0338526670905057,0.0537274675285798
"abca12",482.497685531091,7.08699063296007,0.806757886541767,8.78453220127668,1.57016596746284e-18,1.74413038734999e-17
"abca1b",566.196633228025,-2.13122470298007,0.403907702910185,-5.27651413336374,1.31664362980385e-07,4.51357254325944e-07
"abca3b",899.810352333477,-0.0161750337054381,0.274503763600618,-0.0589246336489999,0.953012137323087,0.963947711737077
"abca5",2438.91987054201,1.92320487218265,0.376475893671016,5.10844095070599,3.24827884716725e-07,1.06221754076993e-06
"abca7",3642.37443344201,7.21783204027922,0.568782258707845,12.689973939547,6.72081434084316e-37,3.54006248710261e-35
"abcb10",218.617494845071,0.0563954832270078,0.296613292737025,0.190131341406225,0.849206211120436,0.889027261151656
"abcb11a",148.446066809547,3.59726453111419,0.422054311721496,8.52322658769078,1.55168803210514e-17,1.54055512648363e-16
"abcb4",315.181551094035,3.58046648291352,0.470124503495761,7.61599630797759,2.61665167175235e-14,1.91312386257404e-13
"abcb6a",1644.92760008197,-0.878993911845602,0.126918246958746,-6.92567012945988,4.33916505206604e-12,2.49598801362737e-11
"abcb7",864.870714578732,0.870930616000656,0.266106037768689,3.27287055680302,0.00106461220901253,0.0021662828641143
"abcb8",346.340625680383,0.354037497649721,0.254619091902504,1.39045935245612,0.164389434180022,0.225403930547571
"abcb9",420.479808277615,-0.560435842698058,0.251797857425728,-2.22573713862266,0.0260317935858311,0.0421690952577884
"abcc10",1262.08464484041,0.386894027026515,0.477487398763101,0.810270654322475,0.417784637526814,0.506023099937902
"abcc12",96.3011654284634,1.8546045312697,0.643357353060885,2.8826973414481,0.00394286077060525,0.00733833501933393
"abcc1",202.324034715157,2.11796598271129,0.625214312206722,3.38758397138389,0.000705111292549157,0.00147521063367272
"abcc2",139.881535641814,2.96899488052537,0.468126416088417,6.34229297576022,2.26370296902917e-10,1.06809625930325e-09
"abcc3",288.076496316255,2.36758497349451,0.541437928300052,4.37277266653261,1.22678451604941e-05,3.29036718699061e-05
"abcc4",2404.28960281578,3.48641687968363,0.253040364313131,13.7781056755407,3.45212088095028e-43,2.86619649956323e-41
"abcc6a",121.065755410839,4.21426783752595,0.937312644691141,4.49611755628733,6.92054840519195e-06,1.91791120262918e-05
"abcc8",129.251840056407,-1.05132659228534,0.901216435107536,-1.16656393661961,0.243386514304817,0.318613890693098
"abcc9",88.123908496542,1.78844363268413,0.633261509283896,2.82417864731197,0.00474019557417542,0.00870066023668154
"abcd3a",1799.31387063965,0.771895083095508,0.33746909125993,2.28730601731157,0.0221779675175211,0.0363907656197927
"abcd4",638.565384628556,0.485146489734315,0.304150533189536,1.59508676393471,0.110692834913521,0.158198133127371
"abce1",2911.27117003108,-0.26740357040377,0.205629802682415,-1.30041252248226,0.193459620285906,0.2604235493082
"abcf1",2517.90615820103,-0.307261535613104,0.197107670524789,-1.5588512349369,0.119031594467244,0.168874006214447
"abcf3",1381.57273199116,-0.241555714674885,0.281779116620341,-0.857252012044413,0.391305623181743,0.479524122108892
"abcg1",191.124391126765,3.4712001876849,0.390785465264352,8.88262357796947,6.53016391648593e-19,7.52674375559952e-18
"abcg2a",18.872564323326,-1.4469275693411,0.650666435693984,-2.22376242259653,0.0261644328811542,0.042358745096048
"abcg2b",108.767224793497,2.56052783243492,0.315035177938239,8.12775211070839,4.37324393543181e-16,3.77560323265884e-15
"abcg2d",74.4052160391246,2.78391583838734,0.330241521936271,8.42993885827769,3.45845870837849e-17,3.33102749289478e-16
"abcg4a",53.4394174160295,3.02317662763333,0.501212442329897,6.03172701296086,1.622166407694e-09,6.93640394965942e-09
"abcg5",22.5475729769291,1.96552136720914,0.604571646460114,3.25109749806769,0.00114960426656904,0.00232685375597682
"abcg8",1.25448862272306,0.950310968875724,2.30588836571021,0.412123580225025,0.680248846102189,0.749767572116862
"abch1",132.302700140497,2.00701721128691,0.373828040696341,5.36882468085694,7.92514127428969e-08,2.79215312472925e-07
"abhd10b",2155.54649116482,-0.890165184879543,0.210611448380156,-4.22657548640368,2.37274697641746e-05,6.11615361959513e-05
"abhd11",133.246074752938,-0.247378323064643,0.524271244251132,-0.471851786221839,0.637032584016951,0.71236082182017
"abhd13",979.249524560517,-1.33600343704744,0.241145628321646,-5.54023494577079,3.02066111268393e-08,1.12627572892324e-07
"abhd14a",726.873255613497,-0.982474733650796,0.322387489511521,-3.0474964619112,0.00230756242606696,0.00446473864457367
"abhd14b",397.103301640379,-1.19490198931935,0.307059332074779,-3.89143681530695,9.96523415674279e-05,0.000236487239803412
"abhd15a",904.374863273176,-3.10081441079509,0.343483315978794,-9.02755466290693,1.75550626199227e-19,2.12229096125255e-18
"abhd16a",2710.12124598838,0.648647194486958,0.274184254200481,2.3657346640069,0.017994335569902,0.0300207929373756
"abhd17ab",504.35305981491,1.80458588269779,0.29196864976997,6.18075222843117,6.37968778086238e-10,2.85663058165744e-09
"abhd17b",1571.50261482298,-2.60571783512031,0.230358650361584,-11.311569290019,1.15013816381476e-29,3.43122217372899e-28
"abhd18",1662.80021260096,0.735089700668875,0.220564301868243,3.33276824237854,0.000859865364794954,0.00177547482548666
"abhd3",311.401957800993,0.774961289792457,0.325754845841858,2.37897087237398,0.0173610477477906,0.0290413975199177
"abhd4",328.441154025981,0.62178355978959,0.267197592827064,2.32705524481286,0.0199623251175463,0.0330229115969244
"abhd5a",838.652406203204,-1.23315857613479,0.406624336789919,-3.03267282492218,0.00242398251070816,0.00466676651743239
"abhd6b",63.7266660586426,-2.54618358007008,1.20563231490336,-2.11190721134094,NA,NA
"abhd8a",75.046878103776,-0.53536322255993,0.482613657892076,-1.10929977592895,0.267300881736292,0.345397019064468
"abhd8b",15.4709379545749,0.374375930285593,0.673805381051733,0.55561433733467,0.578474528089627,0.659985868105982
"abi1a",1725.18906285255,0.120614848311331,0.172320660253141,0.699944209441548,0.483962146769122,0.571549029503327
"abi2b",1608.77547469167,-0.427121918483905,0.15252016630386,-2.80042914215664,0.00510347103315676,0.0093255234269702
"abi3b",14.7526793970189,-1.5244863481521,0.653947561419677,-2.33120580011422,0.0197425104568338,0.032694611806574
"abitram",766.204348884269,-0.686315103748171,0.255450629356525,-2.68668394153886,0.00721652016302414,0.0128557879375191
"abl1",955.871333461774,1.49019411790006,0.304021178529731,4.90161285837636,9.50530166340556e-07,2.93252744226971e-06
"abl2",908.355883294269,-1.48344578524295,0.227965678810425,-6.5073207203115,7.65029673464238e-11,3.79847390880997e-10
"ablim2",430.330936729576,0.261000006026664,0.394629483952937,0.661379893393344,0.508368717047832,0.594768329909365
"ablim3",693.510917387381,-1.43768620846103,0.495312477138452,-2.90258427723629,0.00370097564566946,0.00691916620787589
"abr",1984.94777866143,1.88861957565217,0.343275036839459,5.50176789154474,3.76001751019743e-08,1.38466559731267e-07
"abraa",28.8038165933475,-2.06519689270801,0.691390358041813,-2.98702009463533,0.00281711204934893,0.00537379481500804
"abrab",1.07590889627803,1.31954647653738,1.94461136851269,0.678565649622123,0.49741311396836,0.584071115606072
"abracl",787.16053430431,2.25064807134202,0.337819200134413,6.66228583350658,2.69601029872545e-11,1.40886239058422e-10
"abraxas2",1133.92390179304,-1.4397473112657,0.236025259593574,-6.09997130707487,1.06087506886158e-09,4.63255715129733e-09
"abt1",2364.92097194678,-2.50764085845111,0.273185913164678,-9.17924657754768,4.34118079498839e-20,5.57862230911074e-19
"abtb1",604.71353241683,0.18732560100612,0.275364795605298,0.68028159007889,0.496326179135134,0.583130287598064
"abtb2b",541.519217733637,0.81883539737251,0.240160568847405,3.40953305241706,0.0006507419203904,0.00136870947669576
"acaa2",538.233985992482,0.473883089397825,0.381493888685227,1.24217740690685,0.214171113620426,0.284797930718557
"acaca",3403.81791897493,0.968550037202509,0.310163769603175,3.12270526774187,0.00179197098419067,0.00352677744602508
"acacb",1399.84590717906,-0.6463978251688,0.221574041964492,-2.91729942477824,0.00353076650480564,0.00662116713897898
"acad8",419.448355426778,0.559882906726179,0.287782184890216,1.94550926402816,0.0517137158355676,0.0792432458684033
"acad9",537.428649775027,-0.172943231569396,0.289410685675561,-0.597570304516231,0.550126683403318,0.633754426254526
"acadl",412.600788785895,0.245050700148325,0.327396576399763,0.748482781472675,0.454169007085736,0.542685212730556
"acadm",2186.86123496441,-0.406991032014472,0.25903976736289,-1.57115270816437,0.116147181997142,0.165193248281516
"acads",524.081241870222,0.548868197110211,0.303691198169801,1.80732336142099,0.0707118755991756,0.105413631713366
"acadsb",458.83081723838,0.154892222144941,0.255267122508049,0.606784848056791,0.543993704840719,0.628136800521579
"acadvl",3631.63008550743,-0.494833147384079,0.212773935184388,-2.32562859240847,0.0200383728851006,0.0331330498261505
"acap1",229.828257881463,3.46239521626388,0.412756988614247,8.38845933993319,4.92554361135702e-17,4.66517168108923e-16
"acap3b",681.815147960263,-1.98318396563516,0.407645056158672,-4.86497735143199,1.14469914668563e-06,3.49285115233228e-06
"acat1",1229.68114295492,-0.841354299454959,0.222641451631575,-3.77896520746381,0.000157481423581479,0.000362279750895197
"acat2",952.910035780779,0.707297392782866,0.380561123408136,1.8585644966796,0.0630888934094973,0.0950096081086336
"acbd3",1562.83286424889,-0.658008459139999,0.211682401674825,-3.10847030236739,0.00188058544888128,0.00368961706179503
"acbd5a",2495.49495376896,1.22485856925586,0.383338356434258,3.19524135452885,0.00139713948883897,0.00279142976589713
"acbd6",500.913642119357,1.75247877132121,0.176239784617966,9.94371829902117,2.68609436821461e-23,4.64622241247743e-22
"acbd7",3552.32658937812,2.30080466682142,0.333294496412699,6.90321829968795,5.0837414232731e-12,2.89774444217426e-11
"accs",172.860746092304,1.0533151506647,0.479338636767349,2.19743427687832,0.0279894455199193,0.0451194872396592
"acd",546.08504289513,-1.60534885053928,0.247314330763848,-6.49112748776443,8.51963441882655e-11,4.20115574431888e-10
"ace2",543.731120640764,-0.602901351618286,0.430011460645409,-1.40205879795247,0.160897689348789,0.221235451929484
"ace",161.20263742994,2.17805506716542,0.528290675468729,4.12283458388307,3.7423845069832e-05,9.40028958358523e-05
"acer1",0.106666154755208,0.382971882422557,3.16074699792792,0.121164991273778,0.903560352691074,0.925430169405213
"acer2",700.964039117392,-1.62062367957227,0.211777744885719,-7.65247396720935,1.97149029479899e-14,1.45928412784864e-13
"acer3",1309.08385169985,-0.934825502477926,0.158307848830488,-5.90511152405912,3.52408269770567e-09,1.45434469275324e-08
"ache",1317.38379119418,-1.11361740572628,0.269882436964301,-4.12630558050574,3.68637369559258e-05,9.27196045657722e-05
"acin1a",2358.8817408682,0.780740559700099,0.203570973343454,3.8352253608518,0.000125449215062863,0.000293441660255439
"acin1b",4099.91426008471,-0.511545393904028,0.217027222703427,-2.35705635234096,0.018420451273778,0.0306648618941511
"ackr3a",93.7622088645667,2.059889784568,0.690836677181584,2.98173193839643,0.00286622843420692,0.00546238196693356
"ackr4b",78.7071069885765,2.88593048092045,0.664120371969313,4.34549308036255,1.38963152794527e-05,3.70137066826125e-05
"acmsd",128.108109850123,4.45968859878908,0.755093550358028,5.90614049964341,3.50215324925123e-09,1.44578189000355e-08
"aco1",1242.09790465857,-0.338055554972143,0.241511374270384,-1.39975003659113,0.161588184341033,0.222010399902672
"aco2",1772.25378473125,1.20623190816637,0.311599528706925,3.87109670278383,0.000108346796415677,0.000255781984058716
"acod1",35.5086825557574,2.15911817222083,0.854719975925436,2.52611174774882,0.0115332789257525,0.019847158064249
"acot11b",488.121002525828,-0.97550228044324,0.333191826130093,-2.92774973435982,0.00341424744246482,0.00641887953701956
"acot13",1031.1192515512,0.820508273637157,0.278759512916413,2.94342698856411,0.0032460037791669,0.00613081204219115
"acot20",311.115777763903,-0.577155465297862,0.344309241188411,-1.67627062028821,0.093685196922989,0.136042658933703
"acot7",159.206453273656,1.41119977367538,0.35859392803298,3.93536996406026,8.30686322283938e-05,0.00019982321834316
"acot8",1314.83789511864,-1.39167145383643,0.25094731266859,-5.54567187445564,2.92827524038196e-08,1.09382713836626e-07
"acox1",1266.60023955676,-0.950401315251594,0.222083506406512,-4.27947725893672,1.87332776651689e-05,4.89736545899223e-05
"acox3",668.446619710784,-0.688578699920559,0.295822558180775,-2.32767475257845,0.0199293807589369,0.0329728669905865
"acp1",1354.03647403733,-0.55035371366483,0.217416496235158,-2.53133374511549,0.011362967162767,0.0195871035764411
"acp2",974.203288237213,4.62698488943892,0.589635784153539,7.84719145918402,4.25457481252799e-15,3.34426511178588e-14
"acp5a",1276.26044347884,3.66509073447348,0.578808192920044,6.33213347582965,2.4179416797658e-10,1.13780298871285e-09
"acp6",1095.01036348378,0.428765353127171,0.227589791092067,1.88393930619551,0.0595731856869471,0.0902031427442134
"acsbg2",840.000334312598,4.85501260168145,0.591490538350753,8.20809850182665,2.24718829572426e-16,2.00146847007907e-15
"acsf2",355.335715998352,0.338902586893903,0.376984972891493,0.898981686974164,0.368662415155711,0.456019823968932
"acsf3",459.0619260447,-1.98164941515359,0.239003335837406,-8.29130442138141,1.12013194939291e-16,1.02715806201724e-15
"acsl1a",900.429064358074,0.490059966370262,0.249442214316401,1.96462322030486,0.0494578623969303,0.076033857876476
"acsl2",679.61347824108,1.92833684617462,0.399221787300114,4.83023949974203,1.36368920625641e-06,4.11441731077092e-06
"acsl3a",2861.06706815365,8.98887450339382,0.462047774533723,19.4544265741026,2.6732640298018e-84,2.84679373399719e-81
"acsl3b",1490.5014998473,3.70951898772926,0.249743775597609,14.8532990616194,6.62276111591057e-50,9.65543381023795e-48
"acsl4a",6179.65742363097,1.57881762058491,0.463199758435911,3.40850268557158,0.000653204422326044,0.00137318135061641
"acsl5",19968.7282255642,-5.10135984755491,0.958875802008951,-5.32014661008964,1.03683663544805e-07,3.60114006126333e-07
"acsl6",341.75588376255,-3.34225737888784,0.348120048282546,-9.60087589145443,7.92679114152639e-22,1.20740606610327e-20
"acss1",103.437759963809,0.955253103052167,0.515380034686591,1.85349264379841,0.0638117795520888,0.0959861153699755
"acss2",1277.1472416009,-0.361276058071272,0.313123475867246,-1.15378145017923,0.248589781061618,0.324419730794023
"acss3",287.949723768483,4.16181399908116,0.392223258317565,10.6108291918567,2.65383342415426e-26,5.89839764589929e-25
"acta1b",281.734323644167,0.253350649678716,0.781659117608214,0.324119099965135,0.745847867138206,0.808607109145542
"acta2",5414.04356034644,3.42327373689808,0.582054427196143,5.88136362674635,4.06900127096923e-09,1.66436286121993e-08
"actb1",18719.7636239431,-0.266011146394331,0.265896801927272,-1.00043003325437,0.317102441693966,0.400804525978445
"actb2",46860.0868068106,0.897443439423859,0.285591906256017,3.14239801536726,0.00167570077684243,0.00331018139585463
"actc1a",1331.6188169096,4.76419499308293,0.669012351345623,7.12123622755309,1.06963280214947e-12,6.56111100001177e-12
"actl6a",1509.993894769,-0.1675640671957,0.185054759334142,-0.905483694656781,0.365209194189034,0.452388043962576
"actmap",714.520428134351,0.398760069660835,0.332255614709981,1.20016051499657,0.230077006899257,0.303493975117595
"actn1",1401.24491540694,0.276557847583007,0.174561050049339,1.58430444537793,0.113124454687559,0.161312386389944
"actn2b",132.470192075635,2.51865085579683,0.395137952201654,6.37410514926053,1.84034299167069e-10,8.77980539442737e-10
"actn4",454.044376692914,3.55012198600125,0.524911596128212,6.76327597292042,1.34905911300746e-11,7.32162748834296e-11
"actr10",1937.35704466556,-0.351156581144663,0.196995710198963,-1.78255953284465,0.0746580321509076,0.110716831040941
"actr1b",1801.40991504976,0.241290750024058,0.225719705285609,1.06898398488845,0.285076885902973,0.365417600206201
"actr5",518.805717243307,-0.939543246285274,0.150272461569329,-6.2522649624117,4.04542293158982e-10,1.85760299706467e-09
"actr6",1010.97770116354,-1.29777661428657,0.161713897000112,-8.02513969647069,1.01410474851215e-15,8.49468796351169e-15
"actr8",869.188573163923,0.417962208200998,0.245902145052508,1.69970948448518,0.0891855844448483,0.130079349717601
"acvr1ba",508.724909523584,-1.87764689094023,0.319775278004161,-5.87177002130788,4.31166606372767e-09,1.75892133409197e-08
"acvr1l",930.376718991395,-1.16229787162001,0.161331136613408,-7.20442374620581,5.82898314258805e-13,3.69485724926007e-12
"acvr2ab",2034.68632456868,-1.773729880841,0.173150209656391,-10.2438794868391,1.26077235033979e-24,2.46843302772761e-23
"acvrl1",148.160578255695,-0.0175903647308751,0.529730366716769,-0.033206260837752,0.973510105450801,0.979388113563068
